Benchmark,Processor,L1DSize,CPI
susan,ARM,2,3.005641242
susan,ARM,4,2.742192464
susan,ARM,8,2.563672666
susan,ARM,16,2.557373995
susan,ARM,32,2.555935786
susan,ARM,64,2.555692979
susan,X86,2,3.171149305
susan,X86,4,3.011817208
susan,X86,8,2.910539398
susan,X86,16,2.871884394
susan,X86,32,2.870592891
susan,X86,64,2.870402085
CRC32,ARM,2,3.495258629
CRC32,ARM,4,3.377440197
CRC32,ARM,8,3.298276319
CRC32,ARM,16,3.253569935
CRC32,ARM,32,3.251076272
CRC32,ARM,64,3.251074103
CRC32,X86,2,4.197945454
CRC32,X86,4,3.480852332
CRC32,X86,8,3.342264974
CRC32,X86,16,3.277824413
CRC32,X86,32,3.273504138
CRC32,X86,64,3.273501683
