Benchmark,Architecture,Associativity,CacheLineSize,Cycles,Instructions,DCacheMissRate,ICacheMissRate,DCacheMissCycles,ICacheMissCycles,CPI,CycleDiffAssoc,CycleDiffLn

CRC32,X86,2,16,1924018568,585939090,0.000206,5E-06,2097311000,187307500,3.283649446,0.1436160729,0
CRC32,X86,2,32,1922485284,585939090,0.000125,3E-06,1450960000,121862500,3.281032648,0.1427047052,0.001029266952
CRC32,X86,2,64,1920508568,585939090,9.4E-05,2E-06,1163494000,80953000,3.277659062,0.1415297664,0
CRC32,X86,2,128,1920383522,585939090,7.7E-05,2E-06,1178379000,70964000,3.277445651,0.1414554404,0

CRC32,X86,4,16,1918305506,585939090,5E-06,5E-06,62477500,186437000,3.27389918,0.140651886,-0.001082083853
CRC32,X86,4,32,1919081386,585939090,4E-05,3E-06,534071000,122147500,3.275223344,0.1376734927,8.98562983E-06
CRC32,X86,4,64,1918967166,585939090,3.8E-05,2E-06,521920000,80273500,3.27502841,0.1406135735,-5.951805944E-05
CRC32,X86,4,128,1919064142,585939090,3.8E-05,2E-06,578808000,71832000,3.275193915,0.1397321948,0

CRC32,X86,8,16,1918305954,585939090,5E-06,5E-06,62513500,187832000,3.273899944,0.1402205561,0.0001673276883
CRC32,X86,8,32,1918098712,585939090,3E-06,3E-06,31724000,123217500,3.273546252,0.1405289234,7.567857884E-05
CRC32,X86,8,64,1917985022,585939090,2E-06,2E-06,20085000,81502000,3.273352222,0.1370235441,-0.0001676353511
CRC32,X86,8,128,1917953564,585939090,1E-06,2E-06,15068000,70749000,3.273298533,0.1390726225,-7.561655052E-05

CRC32,X86,16,16,1918306598,585939090,5E-06,5E-06,62005500,188221000,3.273901043,0.1372141814,0.0001084375952
CRC32,X86,16,32,1918098604,585939090,3E-06,3E-06,31341000,123866500,3.273546068,0.137090878,5.920484104E-05
CRC32,X86,16,64,1917985050,585939090,2E-06,2E-06,19736000,81535000,3.273352269,0.1370235607,0
CRC32,X86,16,128,1917952110,585939090,1E-06,2E-06,13711000,71471500,3.273296052,0.1370040332,-7.644236316E-05

CRC32,X86,32,16,1918305242,585939090,5E-06,5E-06,61926500,187747500,3.273898729,0.139281484,0.0001841193
CRC32,X86,32,32,1918098734,585939090,3E-06,3E-06,32115000,123429000,3.27354629,0.1391588389,0
CRC32,X86,32,64,1917984874,585939090,2E-06,2E-06,20067000,81461000,3.273351969,0.1390912175,1.818295576E-05
CRC32,X86,32,128,1917950000,585939090,1E-06,2E-06,13269000,71015500,3.273292451,0.1390705058,-0.0001856888116

CRC32,X86,64,16,1918306208,585939090,5E-06,5E-06,61794500,188347500,3.273900378,0.1406523035,0.0001857232983
CRC32,X86,64,32,1918099452,585939090,3E-06,3E-06,32144000,123423000,3.273547515,0.1400978136,-0.0001077804988
CRC32,X86,64,64,1917985142,585939090,2E-06,2E-06,19626000,81963000,3.273352426,0.1390913767,0.1028197437
CRC32,X86,64,128,1917949888,585939090,1E-06,2E-06,12940000,70962500,3.27329226,0.1370027159,-1.838074719E-05
